votes,unemployment,med_hhinc,per_capita_inc,poverty_all_ages_pct,deep_pov_all,deep_pov_children,population,area_in_square_miles,tot_male,tot_female,voter_turnout,democrat,county,state,education,religion,age_old,age_young,age_adult,ethnic_male,ethnic_female
6256,0.028999999999999998,51335.0,0.7389442665246256,0.106,0.03198458574,0.03304405875,-0.27043143482404947,-0.16520979595493265,-0.7262048503088909,0.7363671551799831,0.453136318,0,York County,NE,GTE Bachelor's,CATHOLIC,0.24402433699999998,0.335289004,0.344125743,MULTI ,BLACK 
3339,0.043,52030.0,-0.16302956634460278,0.149,0.07624595469,0.1583503055,-0.2851932292993533,-0.07529765463084372,2.7893725670324514,-2.789519856191931,0.37609822,0,Jack County,TX,LT High School,MAINLINE CHRISTIAN,0.19993241700000003,0.316062175,0.4015544039999999,BLACK ,BLACK 
14680,0.051,49467.0,-0.440897112524919,0.135,0.04198508999,0.04047103411,-0.19281142137221355,-0.18953281902471378,1.3227003548539242,-1.3185465596427697,0.390581349,0,Putnam County,IN,GTE Bachelor's,MAINLINE CHRISTIAN,0.207822268,0.33438871800000003,0.37480377800000003,BLACK ,BLACK 
9494,0.068,31933.0,-1.1826369156094099,0.25,0.1056838827,0.2066096603,-0.25100566719705897,-0.08313199747058425,-0.044936964377951,0.05310141953725231,0.455042178,0,Pickens County,AL,LT High School,MAINLINE CHRISTIAN,0.22109854300000004,0.282208588,0.39848543,BLACK ,BLACK 
21432,0.044000000000000004,47905.0,0.8313330342451472,0.11699999999999999,0.03456958351,0.0725660811,-0.2040113459405787,-0.13288790884577642,-0.5489391451637889,0.5585816101227901,0.630928199,1,Lincoln County,ME,Some College,MAINLINE CHRISTIAN,0.30424799,0.229944949,0.331007684,MULTI ,BLACK 
5489,0.022000000000000002,45644.0,0.3592211718706414,0.134,0.038005644400000003,0.038602194230000005,-0.27913964770863686,0.35709278393250304,-0.15046819051056456,0.15894212089109383,0.507958542,0,Custer County,NE,GTE Bachelor's,CATHOLIC,0.259022765,0.308069592,0.333518416,MULTI ,NATIVE AMERICAN 
3759,0.032,48216.0,0.28068195377046373,0.10300000000000001,0.036839222129999995,0.07388204796,-0.28954414123948835,-0.1666617608278979,-0.39770977289106096,0.4069087506931758,0.520060874,0,Adair County,IA,GTE Bachelor's,CATHOLIC,0.278500277,0.278361925,0.34241837399999997,MULTI ,BLACK 
74996,0.06,43936.0,0.6761830163463586,0.168,0.06345771342,0.09917398306000001,0.3026558634405178,-0.07770279788264407,-0.8244197243748062,0.8348700489249384,0.398211669,0,Kanawha County,WV,GTE Bachelor's,NON-CATHOLIC CHRISTIAN,0.245077841,0.28057897600000004,0.376797358,BLACK ,BLACK 
6270,0.027999999999999997,55637.0,0.5473296116507546,0.096,0.03545857484,0.04581005587,-0.2752167990577662,-0.16115682925917355,-0.4084689044305792,0.4176994338855571,0.525697996,0,Shelby County,IA,GTE Bachelor's,MAINLINE CHRISTIAN,0.27374863899999996,0.288169699,0.33034292,BLACK ,BLACK 
62287,0.043,54996.0,0.5529395558007673,0.135,0.07597705419,0.059468626340000004,0.08678738006707926,-0.15354707091417225,-0.2794787474962772,0.28833100732608236,0.480127958,0,Wood County,OH,GTE Bachelor's,MAINLINE CHRISTIAN,0.195243967,0.378270253,0.350558853,BLACK ,BLACK 
688,0.040999999999999995,40140.0,-0.3555207749919133,0.12300000000000001,0.10810810809999999,0.16528925619999998,-0.3103179887774457,0.13947824287302996,1.0336907052642925,-1.0286893758348643,0.593103448,0,Prairie County,MT,GTE Bachelor's,MAINLINE CHRISTIAN,0.32586206900000003,0.24913793200000003,0.286206897,MULTI ,NATIVE AMERICAN 
3366,0.044000000000000004,47599.0,-0.14199227578205517,0.15,0.05271146681,0.08846383742000001,-0.288703987171753,-0.21157604832813043,0.17131048591005832,-0.16378018644069248,0.431704502,0,Doniphan County,KS,GTE Bachelor's,MAINLINE CHRISTIAN,0.23637296400000002,0.33948954600000003,0.341798128,BLACK ,BLACK 
6268,0.059000000000000004,32903.0,-0.8034397532194893,0.28800000000000003,0.11101825659999999,0.1984844069,-0.26219600825894807,-0.18558692168109783,-0.2877624772221633,0.29663902947406184,0.400306553,0,Brooks County,GA,LT High School,MAINLINE CHRISTIAN,0.230744667,0.301507217,0.369523567,BLACK ,BLACK 
22891,0.068,70092.0,0.9437072280000889,0.085,0.03736719253,0.04422944022,-0.15415794525207138,-0.20317502135631532,-0.07977158668006222,0.08803819598689319,0.452919412,0,Grundy County,IL,GTE Bachelor's,MAINLINE CHRISTIAN,0.186323975,0.33339269000000005,0.40628400700000006,BLACK ,BLACK 
1440,0.073,43115.0,-0.3365872134856205,0.273,0.07780458384,0.08073654391,-0.30306007987290334,-0.22440870189962545,-1.18061870346932,1.1921135980665958,0.452830189,0,Baker County,GA,LT High School,MAINLINE CHRISTIAN,0.260691824,0.28113207599999995,0.370125786,BLACK ,WHITE 
3093,0.053,56298.0,0.8830497068780767,0.08900000000000001,0.03122350947,0.05676567657,-0.2904034623201758,-0.0227370485190244,0.7692383848197097,-0.7634615366801039,0.436186716,0,Pembina County,ND,GTE Bachelor's,CATHOLIC,0.29953462100000006,0.272175997,0.325200958,NATIVE AMERICAN ,NATIVE AMERICAN 
5763,0.099,27709.0,-1.0083780254496406,0.337,0.09976692995,0.1530217327,-0.26186697453660307,-0.22343985483511086,-0.13329288173930567,0.1417164447292843,0.367233799,0,Knott County,KY,Some College,MAINLINE CHRISTIAN,0.225068503,0.318677115,0.369846429,BLACK ,BLACK 
952,0.026000000000000002,47376.0,1.5129412484716893,0.10800000000000001,0.00449943757,0.0,-0.30849073354267537,0.05693821816113689,0.2139775544998673,-0.2065723781904856,0.540909091,0,Daniels County,MT,GTE Bachelor's,CATHOLIC,0.3125,0.27840909,0.30852272599999997,NATIVE AMERICAN ,NATIVE AMERICAN 
18533,0.08199999999999999,37758.0,-0.6074423294784208,0.19899999999999998,0.07781901958,0.1338473933,-0.18770660692262783,-0.20291648804260387,-0.3808730508138025,0.39002265414656995,0.469368114,0,Franklin County,IL,GTE Bachelor's,CATHOLIC,0.234519437,0.29532734,0.367506648,MULTI ,BLACK 
69567,0.051,46670.0,-0.20633132275251326,0.154,0.08425197896,0.1528900996,0.197828275103124,-0.12664654905011646,0.4967846406704323,-0.49020880927406707,0.436173148,0,Jackson County,MI,GTE Bachelor's,MAINLINE CHRISTIAN,0.22417144299999997,0.306857939,0.38330595599999995,BLACK ,BLACK 
18994,0.065,41235.0,-0.4300278457342694,0.17800000000000002,0.07183913761,0.09029535864999999,-0.14986453435079278,-0.23350698538417747,-0.4567845306184873,0.4661567478909125,0.356761833,0,Jefferson County,TN,LT High School,MAINLINE CHRISTIAN,0.231423741,0.296938393,0.370398197,BLACK ,BLACK 
1678,0.052000000000000005,37294.0,-0.7450612719084198,0.187,0.0708613317,0.1819595645,-0.3035136991794372,-0.1327573364651141,-0.1737636952366733,0.18230594076659667,0.507408527,0,Real County,TX,GTE Bachelor's,NON-CATHOLIC CHRISTIAN,0.32022981500000003,0.244027819,0.28454792799999995,MULTI ,NATIVE AMERICAN 
34044,0.054000000000000006,47882.0,-0.14900470596957105,0.153,0.07355882224,0.1094578198,-0.08839911831544936,-0.17431852522993765,-0.19407402252815184,0.20267582903601344,0.496130809,0,Shiawassee County,MI,GTE Bachelor's,MAINLINE CHRISTIAN,0.229703143,0.299596322,0.375799705,MULTI ,BLACK 
63078,0.06,44973.0,-0.5096189283625745,0.18,0.08783515652,0.1360195904,0.12812423800052056,-0.17881804946756197,-0.3106905553585805,0.31963434526433654,0.453335441,0,Rowan County,NC,GTE Bachelor's,NON-CATHOLIC CHRISTIAN,0.217655346,0.31582124699999997,0.37952595200000006,BLACK ,BLACK 
9417,0.044000000000000004,48683.0,-0.05503814145685842,0.11699999999999999,0.047254592139999996,0.06477060411,-0.24799325166141484,-0.05850865792527975,0.2578870855129125,-0.2506106759422728,0.460376436,0,Taylor County,WI,GTE Bachelor's,MAINLINE CHRISTIAN,0.251087753,0.302371059,0.35502322099999994,MULTI ,BLACK 
3212,0.047,38204.0,-0.4505392040327533,0.16699999999999998,0.06672983216,0.09846827133,-0.28950261271142536,-0.13326656874969722,0.42333759539509774,-0.4165463771277789,0.444321483,0,Pendleton County,WV,Some College,NON-CATHOLIC CHRISTIAN,0.29990316699999997,0.24457048,0.323281229,BLACK ,BLACK 
1579,0.037000000000000005,42348.0,0.04050621984804527,0.128,0.054286660050000005,0.1220588235,-0.3040375975334623,0.004348886125571849,-0.5836571892960007,0.5934014665316322,0.535980991,0,Brown County,NE,GTE Bachelor's,CATHOLIC,0.30108621799999996,0.267820773,0.310930076,MULTI ,BLACK 
105577,0.049,74341.0,1.51206469469825,0.061,0.027457440970000004,0.03152005822,0.2640151653290104,-0.16271064058905543,0.006074311966260321,0.0019405502563288463,0.563630443,0,Livingston County,MI,High School,MAINLINE CHRISTIAN,0.226131243,0.294534369,0.38703581099999995,MULTI ,BLACK 
13584,0.040999999999999995,49565.0,-0.06485554371938064,0.10099999999999999,0.058124221389999994,0.09933474448,-0.22226153677317145,-0.2084031394780355,-0.5208901576616798,0.5304503676623068,0.475596947,0,Van Wert County,OH,GTE Bachelor's,CATHOLIC,0.239338981,0.315594145,0.35732791900000005,BLACK ,BLACK 
31185,0.047,43385.0,-0.28224087953237254,0.205,0.07033823983,0.0985561833,-0.03894503039677822,-0.08524988148492746,-0.2604537137094312,0.26925018174418364,0.347101643,0,Hunt County,TX,GTE Bachelor's,MAINLINE CHRISTIAN,0.20640220799999998,0.336438715,0.375217042,BLACK ,BLACK 
210458,0.052000000000000005,40081.0,-0.938078412819794,0.23399999999999999,0.08642736647999999,0.1288275005,2.2435842630256793,-0.050533296914423854,-0.4778971395778632,0.4873312705564761,0.251866638,1,El Paso County,TX,LT High School,OTHER MISC,0.16042140100000002,0.393690467,0.38621553599999997,BLACK ,BLACK 
1201934,0.052000000000000005,53929.0,0.5997475273024356,0.171,0.08158316699,0.11409521249999999,11.879704189647601,2.093316341047282,-0.27792987810615316,0.28677759580454126,0.288375548,0,Maricopa County,AZ,High School,OTHER,0.182459135,0.342249793,0.403188668,BLACK ,BLACK 
36027,0.042,68334.0,0.818009416888867,0.069,0.03379758589,0.04990053993,-0.09046276670996274,-0.23540550779900793,-0.4680195430033193,0.4774247074712852,0.496787093,0,Hancock County,IN,GTE Bachelor's,OTHER MISC,0.205529507,0.308287369,0.397255929,BLACK ,BLACK 
21648,0.038,57405.0,0.6125452123946521,0.115,0.053887901640000006,0.09701869630999999,-0.17915173014165753,-0.09038659894018398,0.0330469259592794,-0.025111162179757365,0.508861831,0,Kandiyohi County,MN,GTE Bachelor's,CATHOLIC,0.23985708199999994,0.325161017,0.35226364600000004,BLACK ,BLACK 
4979,0.024,46667.0,0.09958594417786644,0.125,0.04261335934,0.039627982209999996,-0.28074967679661633,0.3157326766338994,-0.22031372405464106,0.2289924797057347,0.482788713,0,Holt County,NE,GTE Bachelor's,MAINLINE CHRISTIAN,0.277416853,0.316590711,0.315233202,MULTI ,NATIVE AMERICAN 
